Property_ID,Customer_ID,Address,City,State,ZIP_Code,Property_Type,Year_Built,Square_Feet,Market_Value
24208,90,456 Oak Ave,Dallas,TX,94875,Townhouse,1978,2537,226143
3602,91,123 Main St,Los Angeles,CA,89127,Townhouse,1974,3242,521540
38456,92,123 Main St,Miami,FL,53337,Single-Family,1963,4559,623685
37952,93,789 Pine Dr,Texas,TX,28554,Condo,1988,1127,691399
9743,94,789 Pine Dr,Houston,TX,38314,Townhouse,1957,3061,389665
22022,95,789 Pine Dr,New York,NY,93457,Multi-Family,1970,2174,224953
26954,96,123 Main St,New York,NY,78559,Condo,1950,3117,884371
36865,97,202 Birch Blvd,New York,NY,76886,Townhouse,1988,3917,701430
20522,98,123 Main St,Miami,FL,44079,Townhouse,1992,3686,841832
22884,99,456 Oak Ave,Chicago,IL,77513,Multi-Family,1964,1333,665202
11339,100,789 Pine Dr,Miami,FL,94419,Multi-Family,1958,3275,560124
37209,101,789 Pine Dr,Chicago,IL,81334,Condo,1988,1308,431905
37388,102,789 Pine Dr,New York,NY,63793,Condo,1983,4916,301597
43815,103,456 Oak Ave,New York,NY,62712,Single-Family,1987,1759,470089
48053,104,202 Birch Blvd,New York,NY,79094,Condo,2007,4560,856782
4981,105,202 Birch Blvd,Chicago,IL,91709,Single-Family,1983,2125,161670
34960,106,202 Birch Blvd,New York,NY,40144,Multi-Family,1988,4821,124985
42807,107,202 Birch Blvd,New York,NY,64132,Condo,2017,1425,608742
28143,108,202 Birch Blvd,Texas,TX,16323,Townhouse,2016,1845,383617
19496,109,789 Pine Dr,New York,NY,48367,Townhouse,1994,2484,128989
23459,110,101 Maple Ln,Los Angeles,CA,24353,Multi-Family,2018,4588,583731
35664,111,202 Birch Blvd,Los Angeles,CA,19042,Single-Family,1987,3022,134020
34275,112,123 Main St,Texas,TX,53296,Condo,1962,3258,327728
1291,113,101 Maple Ln,New York,NY,65530,Single-Family,1988,3225,155889
29569,114,456 Oak Ave,Texas,TX,28193,Townhouse,1969,4205,271427
40971,115,123 Main St,Miami,FL,16869,Multi-Family,2013,3561,665781
42903,116,789 Pine Dr,Chicago,IL,27243,Townhouse,2001,3775,286599
37887,117,202 Birch Blvd,Miami,FL,35657,Condo,1954,1070,660475
8017,118,456 Oak Ave,Los Angeles,CA,96920,Multi-Family,1966,4758,81294
14666,119,202 Birch Blvd,New York,NY,13554,Condo,1983,3134,395254
21711,120,101 Maple Ln,San Diego,CA,78608,Single-Family,2012,934,143614
43533,121,789 Pine Dr,Chicago,IL,30302,Single-Family,1968,4620,145256
13732,122,456 Oak Ave,Chicago,IL,76806,Single-Family,1984,2273,125648
23295,123,101 Maple Ln,Dallas,TX,58574,Townhouse,2015,3985,776318
38450,124,202 Birch Blvd,Los Angeles,CA,56306,Single-Family,1997,4627,267614
6152,125,123 Main St,Chicago,IL,72572,Condo,1956,1025,184517
18375,126,456 Oak Ave,Chicago,IL,45978,Single-Family,1998,2602,364725
23407,127,789 Pine Dr,Dallas,TX,73575,Townhouse,1976,3206,92246
34014,128,123 Main St,Miami,FL,20440,Condo,1980,2205,593058
43023,129,456 Oak Ave,Los Angeles,CA,70339,Condo,2013,2150,798691
23586,130,101 Maple Ln,Los Angeles,CA,41665,Multi-Family,1975,1734,897796
47902,131,789 Pine Dr,Miami,FL,68609,Condo,2014,4278,621279
34672,132,456 Oak Ave,New York,NY,21509,Multi-Family,1956,1087,181221
5769,133,456 Oak Ave,Los Angeles,CA,54897,Condo,2001,2458,554270
9158,134,202 Birch Blvd,Houston,TX,40573,Single-Family,2008,2165,513686
22591,135,123 Main St,New York,NY,26058,Single-Family,2012,3456,308868
33124,136,789 Pine Dr,Chicago,IL,35075,Condo,1983,1531,718335
14681,137,456 Oak Ave,New York,NY,64484,Multi-Family,1971,1207,834605
20051,138,123 Main St,Dallas,TX,34088,Condo,1986,3577,371296
49787,139,456 Oak Ave,Tampa,FL,68726,Single-Family,1998,983,647086
32128,140,456 Oak Ave,Los Angeles,CA,90754,Multi-Family,1976,1515,88261
591,141,456 Oak Ave,Houston,TX,39057,Multi-Family,1969,3347,98271
7692,142,456 Oak Ave,Houston,TX,58825,Townhouse,1994,1155,802727
10501,143,123 Main St,New York,NY,80491,Single-Family,1961,3033,634176
15048,144,202 Birch Blvd,Chicago,IL,68597,Multi-Family,1997,3391,202589
5938,145,123 Main St,Miami,FL,87082,Condo,1954,4028,884685
40179,146,101 Maple Ln,Los Angeles,CA,96818,Townhouse,1964,2973,877576
5548,147,123 Main St,Houston,TX,87382,Single-Family,1963,4059,837441
38952,148,789 Pine Dr,New York,NY,50293,Single-Family,1994,3165,471660
42776,149,123 Main St,New York,NY,96590,Condo,1965,2869,833363
44728,150,456 Oak Ave,Miami,FL,64035,Townhouse,1971,2915,541753
12634,151,101 Maple Ln,New York,NY,41854,Townhouse,2018,1157,395475
40288,152,789 Pine Dr,Los Angeles,CA,83595,Multi-Family,2015,4297,395673
15148,153,202 Birch Blvd,New York,NY,77342,Condo,1956,844,370891
41874,154,456 Oak Ave,New York,NY,44257,Condo,1960,2970,239355
36921,155,202 Birch Blvd,Los Angeles,CA,59012,Condo,2014,4235,355342
16809,156,123 Main St,Miami,FL,87815,Townhouse,2004,2516,444939
42270,157,123 Main St,Texas,TX,11188,Townhouse,1951,4209,764720
5237,158,101 Maple Ln,Chicago,IL,58099,Condo,1950,1029,330946
13189,159,789 Pine Dr,Miami,FL,80172,Multi-Family,1996,2362,235634
19597,160,123 Main St,New York,NY,33301,Townhouse,1956,3606,761578
9274,161,101 Maple Ln,Houston,TX,51996,Condo,1994,3425,384879
15873,162,101 Maple Ln,Miami,FL,89852,Multi-Family,2012,2296,183253
29941,163,202 Birch Blvd,Texas,TX,25440,Townhouse,1981,2549,340325
23805,164,123 Main St,Los Angeles,CA,90660,Single-Family,1978,4875,325386
33462,165,202 Birch Blvd,Texas,TX,21252,Condo,1980,1976,551392
7275,166,123 Main St,Los Angeles,CA,59491,Condo,1997,4082,887077
43738,167,789 Pine Dr,New York,NY,77068,Single-Family,2019,1007,198471
22916,168,123 Main St,Dallas,TX,87001,Multi-Family,1953,1680,129304
37929,169,101 Maple Ln,Miami,FL,97647,Townhouse,1963,3131,534603
8679,170,789 Pine Dr,San Jose,CA,63982,Condo,1995,1644,92395
19086,171,123 Main St,San Jose,CA,45838,Condo,2018,2706,779277
23284,172,202 Birch Blvd,Los Angeles,CA,94985,Single-Family,2017,2164,423960
34230,173,202 Birch Blvd,Texas,TX,69775,Single-Family,2014,3145,365535
41783,174,456 Oak Ave,New York,NY,19591,Condo,2008,4042,706723
29829,175,101 Maple Ln,Chicago,IL,15342,Townhouse,2019,2752,809378
7494,176,123 Main St,Los Angeles,CA,70522,Townhouse,2013,4509,654878
42237,177,789 Pine Dr,Los Angeles,CA,59555,Condo,1974,3270,565000
23326,178,789 Pine Dr,Chicago,IL,50017,Single-Family,1980,1718,701652
26513,179,789 Pine Dr,Chicago,IL,90885,Multi-Family,2012,3090,166571
44744,180,456 Oak Ave,New York,NY,68989,Single-Family,1980,1403,650971
36914,181,123 Main St,Chicago,IL,33179,Single-Family,2007,4672,259427
46009,182,123 Main St,Miami,FL,55469,Townhouse,1968,2244,669226
13583,183,123 Main St,Chicago,IL,73643,Condo,1966,2668,834135
16615,184,123 Main St,Chicago,IL,72101,Multi-Family,1995,2499,701591
2533,185,456 Oak Ave,Houston,TX,99126,Multi-Family,1971,3466,347263
23495,186,789 Pine Dr,Chicago,IL,16969,Multi-Family,2008,4986,819482
7874,187,101 Maple Ln,New York,NY,91271,Condo,2001,1551,647605
23335,188,789 Pine Dr,Chicago,IL,35618,Condo,1962,4475,213352
36142,189,789 Pine Dr,Los Angeles,CA,44588,Condo,1997,1468,318336
37409,190,123 Main St,Chicago,IL,18718,Condo,1966,1025,395258
23732,191,202 Birch Blvd,New York,NY,67218,Townhouse,1961,4201,104004
32992,192,456 Oak Ave,Texas,TX,18588,Multi-Family,1969,2240,578658
26377,193,456 Oak Ave,Miami,FL,92978,Multi-Family,1951,3593,800606
41177,194,101 Maple Ln,Chicago,IL,54196,Multi-Family,2014,3547,206050
19991,195,202 Birch Blvd,San Diego,CA,24221,Townhouse,1995,2740,178683
48225,196,123 Main St,Arlington,TX,77495,Multi-Family,1978,1372,278532
9755,197,123 Main St,New York,NY,79433,Multi-Family,1954,2356,373870
11782,198,789 Pine Dr,Houston,TX,18314,Townhouse,1950,1804,292979
47914,199,789 Pine Dr,New York,NY,26850,Multi-Family,2012,4773,491685
28930,200,789 Pine Dr,New York,NY,54042,Single-Family,2014,4658,179200
29614,201,456 Oak Ave,Miami,FL,23441,Townhouse,1968,4478,181862
31859,202,101 Maple Ln,Chicago,IL,98938,Multi-Family,1981,4894,527074
44640,203,101 Maple Ln,Miami,FL,35175,Townhouse,1955,4852,895652
4046,204,101 Maple Ln,Los Angeles,CA,30252,Condo,1962,3271,372293
30074,205,456 Oak Ave,New York,NY,52537,Townhouse,1991,3290,711371
40280,206,202 Birch Blvd,New York,NY,52854,Single-Family,1963,1873,719239
48461,207,123 Main St,Chicago,IL,80873,Single-Family,2005,2604,706643
849,208,123 Main St,New York,NY,27676,Townhouse,2004,2287,717692
13571,209,101 Maple Ln,Miami,FL,65946,Single-Family,1979,3640,665411
26690,210,123 Main St,Chicago,IL,98669,Multi-Family,1988,4115,223637
1545,211,456 Oak Ave,Miami,FL,49243,Townhouse,1959,3881,90048
13653,212,202 Birch Blvd,New York,NY,24330,Single-Family,1950,3770,720778
34501,213,101 Maple Ln,Los Angeles,CA,85402,Condo,2019,4412,753798
26179,214,456 Oak Ave,Texas,TX,44998,Townhouse,2009,4417,268849
30075,215,202 Birch Blvd,Texas,TX,52658,Multi-Family,1972,2431,878032
35631,216,789 Pine Dr,Chicago,IL,10031,Multi-Family,2001,1356,455697
4275,217,101 Maple Ln,Miami,FL,16743,Condo,2010,1958,866244
17878,218,789 Pine Dr,New York,NY,42867,Townhouse,1994,3914,598403
42785,219,101 Maple Ln,Texas,TX,49468,Multi-Family,1986,4376,519015
42635,220,202 Birch Blvd,Miami,FL,72377,Townhouse,1969,3722,164590
32220,221,456 Oak Ave,Chicago,IL,83648,Townhouse,1974,2598,172529
14790,222,101 Maple Ln,Houston,TX,99356,Townhouse,1996,2589,474269
9218,223,123 Main St,New York,NY,82123,Townhouse,1956,2042,121059
35128,224,789 Pine Dr,Chicago,IL,36335,Townhouse,1979,2550,667861
18213,225,101 Maple Ln,Chicago,IL,47522,Condo,2015,2621,438609
8097,226,202 Birch Blvd,Chicago,IL,35040,Townhouse,2003,4713,783000
14385,227,101 Maple Ln,New York,NY,15851,Townhouse,2014,1867,776224
23541,228,202 Birch Blvd,New York,NY,86656,Condo,1958,4367,276259
22073,229,101 Maple Ln,Miami,FL,28457,Townhouse,1973,2864,706932
22303,230,123 Main St,San Diego,CA,50838,Multi-Family,1953,831,389374
33891,231,202 Birch Blvd,Miami,FL,67936,Multi-Family,2001,2423,257046
37179,232,101 Maple Ln,Texas,TX,88816,Townhouse,1954,4038,723472
14622,233,456 Oak Ave,Chicago,IL,74095,Single-Family,2000,886,646026
46940,234,456 Oak Ave,Miami,FL,71317,Single-Family,1979,968,160425
3633,235,202 Birch Blvd,New York,NY,95780,Single-Family,1994,2346,382769
27222,236,101 Maple Ln,Miami,FL,74026,Condo,1966,3248,880223
8257,237,202 Birch Blvd,Los Angeles,CA,34919,Condo,1992,1458,801496
35928,238,123 Main St,Chicago,IL,99652,Townhouse,1952,3884,279893
16612,239,456 Oak Ave,New York,NY,51233,Single-Family,2000,3446,99338
19904,240,202 Birch Blvd,Dallas,TX,78045,Multi-Family,1956,4839,207365
22304,241,101 Maple Ln,Chicago,IL,39073,Condo,1963,4517,525564
8475,242,123 Main St,San Jose,CA,47679,Single-Family,2007,4025,111900
12382,243,456 Oak Ave,Chicago,IL,23276,Single-Family,1992,4778,636019
32322,244,789 Pine Dr,New York,NY,69985,Townhouse,1981,4416,614730
15603,245,202 Birch Blvd,Chicago,IL,58593,Multi-Family,2001,3170,756412
2867,246,123 Main St,New York,NY,26235,Single-Family,2008,1586,110855
25226,247,789 Pine Dr,Dallas,TX,30315,Multi-Family,1950,1656,254261
35191,248,202 Birch Blvd,Chicago,IL,23861,Multi-Family,2014,1389,889532
37079,249,123 Main St,New York,NY,71649,Multi-Family,2012,4352,115813
30230,250,202 Birch Blvd,Chicago,IL,25677,Condo,2014,4247,541426
45846,251,101 Maple Ln,Los Angeles,CA,57257,Townhouse,2015,3954,432982
10613,252,101 Maple Ln,Chicago,IL,50644,Townhouse,1995,1658,399373
20754,253,789 Pine Dr,Miami,FL,15855,Multi-Family,1967,2816,744197
42947,254,101 Maple Ln,New York,NY,85571,Single-Family,2011,1925,270162
26870,255,789 Pine Dr,New York,NY,88024,Multi-Family,1983,2201,459859
37533,256,789 Pine Dr,Miami,FL,62975,Multi-Family,1982,2204,412094
19688,257,789 Pine Dr,New York,NY,58479,Condo,1953,979,358026
6901,258,456 Oak Ave,Miami,FL,17858,Multi-Family,1989,3730,716988
7614,259,789 Pine Dr,Miami,FL,99795,Multi-Family,1969,1479,442490
11504,260,123 Main St,San Jose,CA,57689,Condo,1976,3192,601348
19441,261,789 Pine Dr,New York,NY,88644,Multi-Family,1986,1203,282282
25365,262,456 Oak Ave,Chicago,IL,15228,Condo,2022,2568,409448
20512,263,101 Maple Ln,Chicago,IL,35795,Condo,1985,4684,465301
37554,264,202 Birch Blvd,Chicago,IL,34114,Townhouse,1969,1465,289188
49961,265,202 Birch Blvd,Tampa,FL,12502,Single-Family,1992,4470,778590
44119,266,123 Main St,New York,NY,65954,Single-Family,1971,2322,448859
45808,267,123 Main St,Miami,FL,79944,Multi-Family,1956,3264,478876
18269,268,789 Pine Dr,Chicago,IL,47279,Townhouse,2018,3488,264589
6201,269,202 Birch Blvd,Miami,FL,47164,Townhouse,1966,3296,322155
24325,270,101 Maple Ln,Dallas,TX,33849,Condo,1992,2118,857928
46194,271,101 Maple Ln,Chicago,IL,79444,Townhouse,1998,1896,129377
18883,272,789 Pine Dr,Miami,FL,36991,Multi-Family,2003,3104,186783
1450,273,123 Main St,Chicago,IL,43238,Condo,1990,2011,378231
37368,274,123 Main St,Miami,FL,95846,Single-Family,1983,800,404587
44118,275,101 Maple Ln,Los Angeles,CA,47253,Multi-Family,1999,1299,231560
11805,276,202 Birch Blvd,San Jose,CA,46033,Condo,2019,3149,347717
25335,277,101 Maple Ln,Miami,FL,35263,Condo,1954,4818,363697
41531,278,456 Oak Ave,Chicago,IL,70326,Multi-Family,1979,1746,348611
6911,279,202 Birch Blvd,Houston,TX,71900,Condo,1952,4575,405169
21510,280,123 Main St,Dallas,TX,94297,Multi-Family,1997,1768,652906
36319,281,202 Birch Blvd,Texas,TX,78680,Townhouse,1969,2179,471946
920,282,101 Maple Ln,Chicago,IL,36177,Condo,2003,4306,391917
1729,283,123 Main St,Houston,TX,12291,Townhouse,1971,3593,751303
7581,284,789 Pine Dr,Los Angeles,CA,78863,Condo,1975,2239,295616
12248,285,123 Main St,Chicago,IL,12335,Multi-Family,1993,1113,582784
4653,286,202 Birch Blvd,Los Angeles,CA,80859,Multi-Family,1978,4552,468998
37443,287,456 Oak Ave,Miami,FL,73581,Townhouse,1993,4636,168928
45393,288,789 Pine Dr,Chicago,IL,66453,Single-Family,1987,1198,737839
48811,289,202 Birch Blvd,Tampa,FL,18515,Townhouse,2009,2661,811322
10803,290,101 Maple Ln,San Jose,CA,48937,Condo,1976,1155,243113
3956,291,101 Maple Ln,New York,NY,58018,Condo,1958,3623,623256
44464,292,789 Pine Dr,New York,NY,65234,Townhouse,2002,4829,438598
21960,293,202 Birch Blvd,Chicago,IL,80060,Townhouse,1981,4914,194927
27042,294,101 Maple Ln,Chicago,IL,32843,Single-Family,2008,928,802002
5196,295,202 Birch Blvd,Chicago,IL,20944,Condo,1968,1614,376749
40038,296,202 Birch Blvd,Los Angeles,CA,74456,Single-Family,2020,1193,770539
22080,297,123 Main St,San Diego,CA,46090,Single-Family,1989,4447,494882
35615,298,123 Main St,Texas,TX,46526,Townhouse,1956,2968,741770
15508,299,101 Maple Ln,New York,NY,76341,Condo,2021,1096,506768
5330,300,101 Maple Ln,Miami,FL,42459,Townhouse,2008,3585,895620
18822,301,101 Maple Ln,Houston,TX,15411,Multi-Family,1970,4078,786011
38988,302,123 Main St,Chicago,IL,51234,Single-Family,2019,3222,473806
18907,303,789 Pine Dr,New York,NY,98481,Multi-Family,1994,2385,394215
3853,304,101 Maple Ln,Houston,TX,14544,Single-Family,1982,1611,419981
42155,305,101 Maple Ln,Los Angeles,CA,23772,Multi-Family,2006,1035,104334
35377,306,789 Pine Dr,Texas,TX,73526,Multi-Family,1991,2998,214674
33887,307,456 Oak Ave,Los Angeles,CA,35287,Single-Family,2013,1645,692926
21217,308,789 Pine Dr,Dallas,TX,61592,Single-Family,1994,2767,107141
13270,309,456 Oak Ave,Miami,FL,61813,Single-Family,1972,4385,713855
6130,310,456 Oak Ave,Chicago,IL,60456,Multi-Family,2002,2390,572178
45166,311,123 Main St,Los Angeles,CA,95848,Multi-Family,1983,4487,611847
13954,312,101 Maple Ln,Miami,FL,70139,Single-Family,1971,4328,341723
11310,313,101 Maple Ln,Houston,TX,98463,Townhouse,2016,4613,112673
32930,314,202 Birch Blvd,Chicago,IL,12017,Multi-Family,1974,909,217106
14656,315,456 Oak Ave,San Jose,CA,42436,Multi-Family,2003,3047,220240
49243,316,202 Birch Blvd,Los Angeles,CA,55498,Townhouse,1955,807,514918
15428,317,202 Birch Blvd,Chicago,IL,17874,Townhouse,2008,4194,551516
24033,318,456 Oak Ave,Chicago,IL,96019,Condo,2003,3687,230252
36262,319,202 Birch Blvd,Texas,TX,68746,Condo,1959,2405,870110
24630,320,123 Main St,Chicago,IL,78148,Townhouse,1954,4063,753956
19616,321,456 Oak Ave,Miami,FL,34583,Condo,2004,3916,754348
645,322,123 Main St,Los Angeles,CA,66302,Multi-Family,2001,3837,852605
1408,323,789 Pine Dr,Los Angeles,CA,16705,Multi-Family,1955,879,672783
10978,324,101 Maple Ln,Miami,FL,67337,Multi-Family,2012,3787,150186
19556,325,123 Main St,New York,NY,37343,Single-Family,1997,1602,841136
37457,326,456 Oak Ave,Texas,TX,17681,Single-Family,1992,963,538991
39317,327,456 Oak Ave,Chicago,IL,30476,Condo,2022,1676,483523
6196,328,202 Birch Blvd,Los Angeles,CA,33675,Townhouse,1966,3871,399017
16382,329,101 Maple Ln,Houston,TX,59455,Multi-Family,1968,3833,401035
8280,330,202 Birch Blvd,New York,NY,94394,Single-Family,1952,3677,468445
504,331,123 Main St,Chicago,IL,15605,Condo,1984,3940,788840
41434,332,456 Oak Ave,Los Angeles,CA,88490,Single-Family,1993,3071,207348
7303,333,789 Pine Dr,New York,NY,36214,Condo,2022,3432,237720
17631,334,101 Maple Ln,New York,NY,26499,Condo,1960,1612,596103
41709,335,123 Main St,New York,NY,61206,Condo,1956,801,216338
5543,336,456 Oak Ave,Los Angeles,CA,39660,Townhouse,1982,904,341818
6714,337,789 Pine Dr,New York,NY,58228,Multi-Family,1969,3768,191290
26015,338,123 Main St,New York,NY,88168,Single-Family,1950,2833,893091
48932,339,123 Main St,Los Angeles,CA,32684,Single-Family,1976,3183,133703
24457,340,202 Birch Blvd,Los Angeles,CA,92169,Single-Family,1954,2284,323722
217,341,456 Oak Ave,Los Angeles,CA,59118,Multi-Family,1972,2455,244697
17998,342,456 Oak Ave,Chicago,IL,49784,Multi-Family,2020,1663,515626
44227,343,456 Oak Ave,Miami,FL,95612,Single-Family,1977,826,556662
1265,344,456 Oak Ave,Miami,FL,91039,Condo,2010,1470,309800
20907,345,101 Maple Ln,Miami,FL,45249,Multi-Family,2007,2793,482219
26791,346,101 Maple Ln,Miami,FL,27176,Condo,1953,4569,249168
46179,347,101 Maple Ln,Miami,FL,20177,Multi-Family,2013,4520,402780
26051,348,202 Birch Blvd,Chicago,IL,85564,Townhouse,1975,4953,866865
8268,349,789 Pine Dr,Houston,TX,45906,Condo,1978,2168,249401
44385,350,789 Pine Dr,Miami,FL,76725,Multi-Family,1992,4605,384789
6565,351,456 Oak Ave,Los Angeles,CA,60699,Multi-Family,2003,4761,229562
49457,352,202 Birch Blvd,Chicago,IL,84746,Townhouse,2002,4644,254428
15236,353,789 Pine Dr,San Jose,CA,57810,Multi-Family,2007,2531,358183
32274,354,456 Oak Ave,New York,NY,64490,Condo,1967,4147,736092
9877,355,456 Oak Ave,Houston,TX,73562,Townhouse,1977,4765,834823
21690,356,456 Oak Ave,San Diego,CA,66675,Townhouse,2009,3351,222987
12969,357,101 Maple Ln,Miami,FL,68085,Multi-Family,2002,3476,221354
