Customer_ID,Name,Age,Income,Credit_Score,Employment_Status,Marital_Status,Date_Joined,State,Debt_to_Income_Ratio
42395,Alice Brown,44,82053,845,Employed,Single,2022-01-19,FL,0.51
42935,Charlie Davis,48,40286,845,Employed,Widowed,2023-08-15,NY,0.2
43527,Alice Brown,57,114166,845,Employed,Widowed,2021-07-24,NY,0.55
43634,Charlie Davis,48,192735,845,Retired,Widowed,2022-12-02,IL,0.36
45172,Bob Johnson,67,161505,845,Employed,Married,2020-02-28,NY,0.53
46847,John Doe,43,92623,845,Retired,Widowed,2023-01-26,TX,0.34
47139,John Doe,51,189572,845,Employed,Widowed,2021-06-15,CA,0.34
48311,John Doe,25,48658,845,Employed,Single,2021-05-13,FL,0.49
68,Jane Smith,40,155939,845,Retired,Widowed,2021-10-07,FL,0.37
753,Bob Johnson,34,91049,845,Unemployed,Single,2023-06-07,TX,0.47
1066,Charlie Davis,25,35586,845,Self-Employed,Divorced,2025-02-16,TX,0.2
1937,Bob Johnson,60,101474,845,Unemployed,Widowed,2020-08-21,IL,0.22
2021,Bob Johnson,52,117306,845,Unemployed,Widowed,2024-07-23,IL,0.13
2115,Alice Brown,49,30796,845,Self-Employed,Single,2024-01-24,IL,0.25
2616,John Doe,69,185179,845,Employed,Divorced,2020-12-03,NY,0.4
2675,John Doe,43,116714,845,Unemployed,Married,2024-07-26,CA,0.43
3392,Jane Smith,61,41051,845,Retired,Married,2022-06-11,NY,0.52
3863,Jane Smith,49,190943,845,Employed,Single,2019-02-04,CA,0.28
4431,Bob Johnson,56,123157,845,Self-Employed,Divorced,2024-03-13,FL,0.51
5088,John Doe,47,60221,845,Self-Employed,Widowed,2023-03-06,TX,0.28
5406,Bob Johnson,34,169575,845,Employed,Married,2024-07-11,TX,0.2
6116,Bob Johnson,56,45101,845,Unemployed,Widowed,2022-07-04,FL,0.48
6518,Jane Smith,57,42299,845,Employed,Divorced,2024-04-14,TX,0.35
7017,Alice Brown,26,196130,845,Self-Employed,Single,2019-09-28,FL,0.58
7302,Charlie Davis,45,197640,845,Retired,Divorced,2019-11-20,FL,0.38
8615,Bob Johnson,60,122718,845,Unemployed,Single,2023-09-22,TX,0.36
8662,Bob Johnson,44,41442,845,Unemployed,Divorced,2020-01-17,CA,0.6
8873,Charlie Davis,64,50434,845,Unemployed,Married,2019-10-14,NY,0.41
9220,Bob Johnson,57,39950,845,Unemployed,Single,2020-03-11,NY,0.54
11661,John Doe,53,129630,845,Self-Employed,Divorced,2019-03-13,TX,0.34
11692,Bob Johnson,26,39465,845,Employed,Single,2025-01-10,CA,0.15
11717,Alice Brown,37,68412,845,Employed,Single,2023-01-06,TX,0.53
13942,Charlie Davis,57,114752,845,Retired,Married,2024-04-17,FL,0.25
14307,Bob Johnson,68,177704,845,Self-Employed,Divorced,2023-09-11,CA,0.24
14949,Jane Smith,60,47283,845,Retired,Married,2023-05-07,FL,0.26
15023,Jane Smith,38,115373,845,Employed,Married,2024-01-11,TX,0.17
15165,Jane Smith,58,187758,845,Unemployed,Divorced,2021-04-18,IL,0.33
15244,Bob Johnson,54,103538,845,Self-Employed,Single,2020-12-16,TX,0.3
16505,Bob Johnson,43,173113,845,Unemployed,Widowed,2022-10-06,FL,0.23
17893,Charlie Davis,57,160453,845,Self-Employed,Divorced,2020-06-18,NY,0.24
18759,Jane Smith,64,57738,845,Unemployed,Single,2020-10-03,TX,0.4
18825,John Doe,32,38182,845,Self-Employed,Divorced,2024-01-09,CA,0.52
19246,John Doe,25,30405,845,Self-Employed,Widowed,2023-09-13,NY,0.17
19945,Alice Brown,26,123258,845,Self-Employed,Married,2023-07-05,IL,0.2
20370,Alice Brown,32,76530,845,Employed,Widowed,2023-09-10,FL,0.58
20826,Jane Smith,53,56909,845,Retired,Divorced,2021-12-08,IL,0.24
21455,Charlie Davis,30,39648,845,Self-Employed,Married,2022-12-31,TX,0.16
22908,Charlie Davis,68,123592,845,Unemployed,Single,2021-06-22,NY,0.18
23466,Bob Johnson,53,172161,845,Unemployed,Married,2024-12-30,NY,0.58
23690,Bob Johnson,44,34913,845,Retired,Widowed,2021-07-16,TX,0.35
24182,John Doe,31,83260,845,Self-Employed,Widowed,2022-04-08,NY,0.18
25238,John Doe,45,79148,845,Retired,Widowed,2024-04-19,FL,0.25
25861,Jane Smith,59,124966,845,Self-Employed,Single,2021-07-06,CA,0.4
26165,Jane Smith,55,181411,845,Unemployed,Married,2025-01-12,NY,0.31
26686,Charlie Davis,67,120555,845,Retired,Widowed,2024-12-04,NY,0.17
26863,John Doe,69,131076,845,Self-Employed,Married,2021-12-26,CA,0.24
27257,John Doe,49,154311,845,Unemployed,Widowed,2023-11-08,FL,0.4
27522,Bob Johnson,37,123696,845,Self-Employed,Single,2023-04-06,NY,0.55
27577,Jane Smith,25,65365,845,Retired,Widowed,2022-06-28,IL,0.11
28337,Jane Smith,61,101132,845,Employed,Divorced,2023-11-08,CA,0.29
28401,Bob Johnson,58,100665,845,Self-Employed,Married,2021-02-02,TX,0.25
29198,Charlie Davis,41,113950,845,Self-Employed,Divorced,2022-06-13,CA,0.41
29635,John Doe,52,65006,845,Employed,Single,2023-07-19,TX,0.11
30156,Charlie Davis,58,186167,845,Employed,Single,2019-04-11,CA,0.37
30472,Alice Brown,41,150432,845,Self-Employed,Divorced,2019-12-27,IL,0.59
31560,Jane Smith,62,,845,Employed,Widowed,2021-04-04,TX,0.2
32123,Alice Brown,36,87840,845,Retired,Divorced,2022-06-15,TX,0.48
34204,Charlie Davis,46,96045,845,Employed,Divorced,2020-10-14,IL,0.2
34227,Charlie Davis,30,176679,845,Employed,Married,2023-05-25,TX,0.22
34855,Alice Brown,31,145324,845,Employed,Divorced,2023-09-26,FL,0.17
35375,Bob Johnson,45,118946,845,Retired,Widowed,2024-04-01,IL,0.3
35552,Bob Johnson,64,126128,845,Employed,Divorced,2022-04-10,IL,0.53
35614,John Doe,62,157873,845,Retired,Divorced,2023-05-26,FL,0.48
36335,Bob Johnson,33,152486,845,Employed,Married,2023-01-16,CA,0.32
36402,Alice Brown,46,167946,845,Retired,Single,2024-05-16,CA,0.17
36660,Bob Johnson,61,188878,845,Self-Employed,Married,2019-12-24,TX,0.25
37611,Bob Johnson,34,189900,845,Self-Employed,Single,2021-09-03,IL,0.43
37862,Bob Johnson,58,83887,845,Employed,Single,2023-01-02,NY,0.54
38635,Charlie Davis,43,79291,845,Self-Employed,Widowed,2022-09-20,NY,0.29
39058,Bob Johnson,56,179090,845,Employed,Married,2019-11-29,TX,0.3
40534,Alice Brown,27,95242,845,Employed,Married,2020-02-09,TX,0.52
42043,Alice Brown,62,137679,845,Retired,Divorced,2023-12-03,NY,0.23
42547,Bob Johnson,60,86184,845,Employed,Divorced,2019-07-25,CA,0.14
45123,Bob Johnson,51,198339,845,Employed,Single,2020-11-20,NY,0.2
45391,Jane Smith,61,69985,845,Employed,Married,2020-12-28,TX,0.52
45824,Bob Johnson,48,82593,845,Employed,Married,2020-03-23,TX,0.26
46298,Bob Johnson,30,134247,845,Employed,Divorced,2021-11-24,TX,0.34
47814,John Doe,28,131592,845,Employed,Divorced,2024-09-09,FL,0.13
48007,Bob Johnson,67,62529,845,Employed,Single,2019-09-16,TX,0.56
48180,John Doe,46,124106,845,Employed,Single,2019-03-11,NY,0.33
48667,Jane Smith,55,186527,845,Employed,Widowed,2023-03-30,CA,0.27
49607,John Doe,35,48060,845,Employed,Divorced,2020-12-19,NY,0.59
49634,Charlie Davis,36,190679,845,Employed,Divorced,2022-10-01,TX,0.45
3509,Charlie Davis,42,72294,845,Employed,Divorced,2022-11-13,TX,0.19
3571,Jane Smith,48,90179,845,Self-Employed,Single,2020-07-17,CA,0.42
3661,Bob Johnson,26,72068,845,Employed,Single,2022-04-19,IL,0.19
5012,Jane Smith,36,39491,845,Employed,Married,2022-01-27,NY,0.56
6483,Jane Smith,31,125642,845,Employed,Divorced,2019-03-12,CA,0.35
6502,John Doe,46,171492,845,Employed,Single,2024-07-18,FL,0.21
6717,Charlie Davis,51,197338,845,Employed,Divorced,2021-11-09,TX,0.18
8683,John Doe,36,118835,845,Unemployed,Widowed,2024-06-01,CA,0.38
9118,Bob Johnson,52,62174,845,Employed,Single,2023-12-12,CA,0.56
10728,Charlie Davis,39,34460,845,Retired,Widowed,2022-11-28,TX,0.57
10754,Alice Brown,45,108000,845,Self-Employed,Widowed,2022-03-14,TX,0.25
11315,Charlie Davis,26,81427,845,Unemployed,Married,2020-02-22,CA,0.55
11465,John Doe,30,195674,845,Retired,Single,2023-09-06,TX,0.26
11755,Jane Smith,50,184067,845,Unemployed,Widowed,2021-11-26,TX,0.33
12133,John Doe,35,62600,845,Retired,Married,2023-11-19,CA,0.41
12377,Charlie Davis,54,67544,845,Employed,Widowed,2023-08-23,FL,0.34
12699,Alice Brown,34,117748,845,Employed,Widowed,2019-06-24,TX,0.13
12790,Alice Brown,37,94583,845,Employed,Widowed,2020-10-05,FL,0.51
13230,John Doe,27,125308,845,Self-Employed,Divorced,2022-04-28,NY,0.23
14089,Alice Brown,30,122490,845,Retired,Divorced,2022-01-15,CA,0.35
14189,Bob Johnson,31,115956,845,Employed,Single,2021-11-05,TX,0.3
14463,Charlie Davis,46,159726,845,Unemployed,Divorced,2021-07-22,FL,0.13
14548,John Doe,41,61442,845,Self-Employed,Single,2019-11-25,NY,0.58
15947,Jane Smith,34,108099,845,Retired,Single,2022-01-04,IL,0.44
16005,Bob Johnson,37,192808,845,Employed,Married,2020-06-21,FL,0.59
17610,John Doe,33,32926,845,Unemployed,Single,2024-10-08,IL,0.19
18545,John Doe,35,107628,845,Employed,Single,2020-06-06,FL,0.3
18844,John Doe,40,150359,845,Self-Employed,Widowed,2023-10-06,NY,0.57
19484,Charlie Davis,38,124174,845,Unemployed,Widowed,2021-07-25,IL,0.57
20597,Charlie Davis,60,179535,845,Self-Employed,Widowed,2023-06-29,FL,0.5
21076,Alice Brown,46,161355,845,Self-Employed,Married,2021-07-18,TX,0.49
22600,Bob Johnson,42,61338,845,Retired,Single,2021-10-22,TX,0.57
23477,Jane Smith,64,102095,845,Self-Employed,Single,2019-09-13,CA,0.45
23813,Jane Smith,52,58738,845,Unemployed,Single,2020-08-07,NY,0.42
25444,Charlie Davis,54,159140,845,Self-Employed,Single,2020-01-26,IL,0.44
25627,Bob Johnson,28,141765,845,Retired,Divorced,2021-03-13,NY,0.56
25837,Alice Brown,40,59257,845,Unemployed,Single,2024-04-29,IL,0.33
26940,Jane Smith,38,193591,845,Self-Employed,Widowed,2022-02-15,TX,0.2
27229,Charlie Davis,30,91670,845,Unemployed,Widowed,2019-01-03,TX,0.5
27288,Alice Brown,48,86889,845,Retired,Widowed,2019-07-13,NY,0.14
27795,Charlie Davis,47,79016,845,Retired,Divorced,2022-09-13,IL,0.47
29042,Charlie Davis,62,120613,845,Employed,Divorced,2023-03-06,TX,0.19
29565,Bob Johnson,43,114703,845,Self-Employed,Single,2021-01-27,CA,0.24
29568,Charlie Davis,54,151480,845,Unemployed,Single,2021-06-24,NY,0.21
30464,Jane Smith,32,95575,845,Self-Employed,Widowed,2021-11-23,NY,0.46
30877,Jane Smith,51,72446,845,Retired,Single,2023-09-18,IL,0.33
31917,John Doe,39,197144,845,Employed,Single,2021-12-13,TX,0.12
32645,John Doe,39,79509,845,Retired,Married,2019-04-02,FL,0.51
32677,John Doe,68,100160,845,Employed,Married,2024-04-23,TX,0.57
33011,John Doe,53,51502,845,Self-Employed,Divorced,2019-07-05,FL,0.36
33334,Alice Brown,30,194215,845,Self-Employed,Divorced,2019-01-13,NY,0.58
33852,John Doe,32,169104,845,Employed,Divorced,2019-04-05,IL,0.57
34202,Bob Johnson,41,126935,845,Employed,Divorced,2024-11-20,IL,0.44
34597,Alice Brown,38,56682,845,Retired,Divorced,2023-01-12,NY,0.11
35640,Alice Brown,42,199322,845,Employed,Widowed,2020-01-29,IL,0.33
35829,Jane Smith,36,124162,845,Self-Employed,Widowed,2025-01-05,CA,0.4
36455,Charlie Davis,50,104891,845,Employed,Divorced,2019-10-16,CA,0.58
36515,Bob Johnson,69,113684,845,Employed,Divorced,2022-08-06,FL,0.29
38122,Charlie Davis,50,188795,845,Employed,Single,2020-06-26,IL,0.38
38127,Charlie Davis,28,199045,845,Employed,Widowed,2023-06-27,IL,0.15
38240,Jane Smith,25,192585,845,Self-Employed,Married,2021-11-10,FL,0.46
39352,Bob Johnson,33,32373,845,Retired,Married,2021-06-10,IL,0.25
39981,John Doe,54,120197,845,Employed,Widowed,2023-07-17,CA,0.35
40293,Jane Smith,30,192195,845,Retired,Widowed,2022-12-12,IL,0.36
40843,Bob Johnson,49,177259,845,Retired,Divorced,2020-08-20,IL,0.45
41978,Jane Smith,68,127947,845,Retired,Widowed,2024-10-05,CA,0.56
42664,Jane Smith,30,149816,845,Employed,Single,2020-04-28,FL,0.16
43175,Charlie Davis,30,124457,845,Retired,Single,2021-04-02,TX,0.4
43970,Charlie Davis,66,190981,845,Retired,Widowed,2021-05-14,CA,0.41
44462,John Doe,63,97803,845,Employed,Widowed,2022-06-25,FL,0.13
44476,John Doe,37,79648,845,Employed,Widowed,2024-10-13,CA,0.12
44521,John Doe,38,191108,845,Employed,Widowed,2021-03-12,NY,0.39
44535,Bob Johnson,39,130225,845,Employed,Single,2020-04-12,FL,0.39
44614,Charlie Davis,35,109370,845,Employed,Divorced,2022-01-19,TX,0.49
44705,Charlie Davis,65,88957,845,Retired,Widowed,2022-10-27,TX,0.38
45137,John Doe,51,162909,845,Employed,Divorced,2019-01-21,CA,0.46
46299,John Doe,68,88362,845,Employed,Married,2021-09-09,TX,0.21
46545,John Doe,46,162807,845,Employed,Married,2021-07-28,NY,0.34
47231,Jane Smith,51,105735,845,Employed,Single,2022-09-08,NY,0.54
47389,Bob Johnson,37,113698,845,Employed,Married,2019-01-13,CA,0.57
49863,Bob Johnson,38,161013,845,Employed,Single,2019-07-24,NY,0.24
264,Alice Brown,55,110498,845,Unemployed,Divorced,2020-12-03,IL,0.47
472,Bob Johnson,68,135314,845,Unemployed,Divorced,2021-05-03,TX,0.31
927,Charlie Davis,29,178750,845,Retired,Single,2022-03-26,CA,0.46
1755,John Doe,66,64730,845,Self-Employed,Divorced,2024-08-09,TX,0.37
1847,Jane Smith,59,61933,845,Unemployed,Widowed,2023-11-26,FL,0.3
3172,Bob Johnson,48,147181,845,Retired,Married,2020-05-25,IL,0.18
4619,Alice Brown,56,110963,845,Retired,Married,2024-02-13,TX,0.43
5164,Bob Johnson,62,198765,845,Self-Employed,Married,2022-01-20,TX,0.29
5705,Alice Brown,35,41871,845,Unemployed,Divorced,2023-04-16,IL,0.56
6683,Alice Brown,25,85037,845,Unemployed,Single,2022-07-09,CA,0.5
6702,Alice Brown,41,66827,845,Retired,Single,2022-11-05,CA,0.16
6829,Bob Johnson,58,137860,845,Employed,Widowed,2022-10-31,FL,0.46
7096,Jane Smith,46,109303,845,Retired,Divorced,2021-11-26,NY,0.2
7225,Charlie Davis,66,184141,845,Employed,Married,2021-09-05,IL,0.19
7618,John Doe,67,51036,845,Self-Employed,Divorced,2022-08-30,TX,0.22
7629,John Doe,50,119786,845,Unemployed,Divorced,2025-02-12,TX,0.49
8201,Jane Smith,28,157686,845,Self-Employed,Single,2022-04-12,IL,0.28
8235,Charlie Davis,29,90686,845,Unemployed,Married,2025-01-04,FL,0.53
8311,John Doe,53,148170,845,Retired,Single,2024-09-24,CA,0.57
9175,Bob Johnson,43,62464,845,Retired,Married,2021-10-26,FL,0.51
9632,Bob Johnson,59,35518,845,Self-Employed,Divorced,2024-10-20,CA,0.58
9768,Jane Smith,45,159185,845,Unemployed,Divorced,2024-06-30,CA,0.13
10091,Charlie Davis,38,49193,845,Unemployed,Widowed,2023-04-05,NY,0.37
11144,Charlie Davis,40,85326,845,Retired,Widowed,2024-01-24,NY,0.52
11899,Jane Smith,33,112096,845,Employed,Widowed,2023-04-20,CA,0.36
12327,Bob Johnson,45,102691,845,Self-Employed,Married,2020-10-07,FL,0.23
12403,Alice Brown,53,46649,845,Self-Employed,Single,2020-05-10,FL,0.47
12444,Bob Johnson,39,194494,845,Unemployed,Divorced,2020-07-15,TX,0.29
13315,Jane Smith,64,77386,845,Unemployed,Single,2020-08-16,CA,0.57
14478,Alice Brown,53,176170,845,Employed,Single,2022-08-13,NY,0.33
14927,Alice Brown,60,57063,845,Self-Employed,Married,2019-01-05,FL,0.33
15436,Bob Johnson,25,40911,845,Self-Employed,Divorced,2024-03-24,IL,0.13
15630,Jane Smith,41,156396,845,Self-Employed,Widowed,2024-05-19,NY,0.15
17047,Jane Smith,25,164593,845,Self-Employed,Married,2019-08-02,NY,0.3
17075,Jane Smith,51,78402,845,Self-Employed,Widowed,2019-05-25,IL,0.14
17530,Bob Johnson,53,145621,845,Employed,Widowed,2021-10-21,IL,0.34
19226,Bob Johnson,47,192659,845,Unemployed,Widowed,2019-05-30,FL,0.32
19890,Jane Smith,53,181453,845,Retired,Divorced,2019-07-03,TX,0.51
20196,Charlie Davis,46,69573,845,Retired,Widowed,2021-04-12,IL,0.34
20936,Bob Johnson,32,184998,845,Retired,Widowed,2019-10-15,IL,0.38
21217,Alice Brown,52,60028,845,Unemployed,Divorced,2021-10-25,NY,0.57
21279,Alice Brown,27,188119,845,Retired,Single,2020-09-28,CA,0.25
21421,Jane Smith,51,50834,845,Retired,Single,2024-06-13,FL,0.16
21716,Bob Johnson,65,53753,845,Unemployed,Divorced,2024-03-14,FL,0.17
22321,Charlie Davis,41,113663,845,Retired,Married,2023-11-01,IL,0.23
22366,Jane Smith,58,104344,845,Employed,Divorced,2021-10-01,CA,0.45
23603,Alice Brown,30,63640,845,Employed,Widowed,2024-09-03,TX,0.36
23832,Jane Smith,65,117010,845,Unemployed,Widowed,2021-07-10,FL,0.22
23915,Charlie Davis,29,139889,845,Self-Employed,Married,2019-04-22,NY,0.49
25361,Bob Johnson,63,116807,845,Employed,Divorced,2019-02-21,TX,0.56
26625,Bob Johnson,58,133783,845,Self-Employed,Single,2019-01-12,TX,0.37
26750,Charlie Davis,66,92855,845,Retired,Single,2022-07-23,NY,0.45
26919,Jane Smith,58,32344,845,Self-Employed,Married,2019-03-25,FL,0.33
27091,John Doe,56,169421,845,Self-Employed,Divorced,2023-04-25,TX,0.53
27425,John Doe,63,42504,845,Self-Employed,Single,2021-11-25,IL,0.5
27797,John Doe,26,102445,845,Retired,Widowed,2023-04-25,TX,0.17
27818,John Doe,59,72899,845,Self-Employed,Widowed,2023-11-18,TX,0.53
28378,Bob Johnson,55,36756,845,Self-Employed,Single,2021-04-05,CA,0.51
28749,John Doe,57,58437,845,Unemployed,Widowed,2020-07-17,FL,0.39
28877,Charlie Davis,27,87472,845,Retired,Divorced,2020-07-24,CA,0.12
28885,Charlie Davis,29,65612,845,Retired,Married,2020-05-11,IL,0.43
30160,Bob Johnson,30,76753,845,Unemployed,Married,2020-07-21,IL,0.24
30760,Alice Brown,51,198614,845,Retired,Married,2021-03-26,TX,0.14
30979,Alice Brown,60,116326,845,Self-Employed,Divorced,2023-09-01,FL,0.15
31069,Bob Johnson,64,150957,845,Employed,Divorced,2022-02-07,FL,0.3
31963,Jane Smith,41,126960,845,Retired,Widowed,2020-11-03,IL,0.32
31992,Jane Smith,65,198568,845,Employed,Divorced,2020-08-07,CA,0.35
32500,Bob Johnson,36,172680,845,Retired,Married,2024-11-23,CA,0.35
32857,John Doe,59,114027,845,Employed,Married,2024-05-10,CA,0.27
33694,Bob Johnson,56,40726,845,Retired,Divorced,2025-03-05,FL,0.46
33829,Alice Brown,50,60723,845,Self-Employed,Married,2022-09-03,TX,0.12
33986,Jane Smith,29,71293,845,Retired,Widowed,2021-01-17,TX,0.28
35265,Bob Johnson,47,129986,845,Self-Employed,Married,2022-02-19,TX,0.44
35733,Jane Smith,59,69130,845,Self-Employed,Single,2021-05-20,IL,0.43
35824,Charlie Davis,69,62984,845,Employed,Divorced,2023-07-05,FL,0.58
35918,John Doe,61,123077,845,Employed,Widowed,2019-06-02,CA,0.38
36650,Charlie Davis,38,152154,845,Self-Employed,Divorced,2022-10-10,NY,0.15
37878,Bob Johnson,56,85728,845,Employed,Married,2022-01-20,IL,0.44
38365,Alice Brown,52,34542,845,Self-Employed,Widowed,2022-07-27,FL,0.38
38482,Charlie Davis,26,30076,845,Employed,Single,2021-09-13,FL,0.22
38650,Bob Johnson,35,166214,845,Self-Employed,Divorced,2024-11-19,FL,0.29
38921,Charlie Davis,37,35992,845,Employed,Single,2024-09-08,IL,0.36
39458,Bob Johnson,60,79052,845,Employed,Single,2024-10-20,FL,0.53
39504,John Doe,52,113303,845,Employed,Married,2023-10-25,CA,0.21
39918,Charlie Davis,56,141066,845,Retired,Married,2021-01-27,CA,0.25
40044,Alice Brown,51,155689,845,Employed,Widowed,2020-05-24,TX,0.17
40689,John Doe,33,50888,845,Retired,Married,2023-06-09,FL,0.52
41013,John Doe,45,138537,845,Employed,Widowed,2024-02-07,FL,0.3
42323,Charlie Davis,56,53258,845,Employed,Divorced,2021-04-12,NY,0.52
42651,John Doe,45,165063,845,Retired,Divorced,2021-12-05,IL,0.1
43911,Bob Johnson,33,186865,845,Retired,Single,2020-12-12,TX,0.14
44241,Alice Brown,35,89367,845,Employed,Married,2024-07-25,FL,0.17
44676,Jane Smith,31,165719,845,Employed,Single,2024-08-12,NY,0.52
45387,Charlie Davis,56,96544,845,Employed,Widowed,2024-01-06,IL,0.38
45836,Alice Brown,44,53190,845,Employed,Single,2023-12-06,FL,0.3
45983,Jane Smith,44,192655,845,Employed,Married,2020-06-05,IL,0.33
46120,Alice Brown,62,34266,845,Employed,Divorced,2023-09-02,TX,0.37
